profile|content_id|top_parent_id|seconds|viewed_at|duration|video_id|episode_id|program_id|object_id|content_type_id|percent_view|expired_at|user
f56e2bd1-7237-48e7-a1dc-7bf8f403edcb|875624436559317979|588147948869648989|3342|2024-07-06 11:25:45||0|0|0|0001691720250700|20|0||
bc655889-0586-4f88-9739-31cc041c9e77|546311602836603903|0|8084|2024-07-08 08:59:46||0|0|0|0007311720249800|20|0||
cb23cb17-917f-42d0-90ea-05ee32233df3|546313932537594147|0|1533|2024-07-20 10:25:34||0|0|0|0000491720249200|20|0||
9bbfbe9e-281a-4a27-87db-25c15d6a81ef|546621522408636440|0|13167|2024-07-06 17:41:03||0|0|0|0001721720202400|20|0||
a4b754c3-c567-4804-95ee-67238abfadd2|665701171322959217|0|2432|2024-07-15 10:42:55||0|0|0|0007051720915200|20|0||
7cc7685b-ac78-4ea1-a097-b5995d178e05|738477423919884986|546316019115753593|6385|2024-07-16 14:06:34||0|0|0|0070871720791900|20|0||
a7d4d1d3-cfb9-40f3-a1ab-ed700748eb4d|546327833845170737|546314869813543472|4672|2024-07-13 11:13:25||0|0|0|0002181720517280|20|0||
1230beec-c675-43a2-8f49-f7d012e1cdc4|546326703039841117|0|1071|2024-08-05 05:47:51||0|0|0|0043091720251000|20|0||
247b5199-822b-4f79-b444-1787073f0755|863236026253388699|546310935006937179|2700|2024-11-06 10:13:14||0|0|0|0000061714716000|20|0|2024-11-07 05:15:00|
531737ca-f0a6-4d71-b306-291783659a72|555072979881427072|546310935006937179|9333|2024-07-06 10:34:00||0|0|0|0007191720429200|20|0||
33faf06f-f204-4be5-874a-8eff9003b7dc|562690202083001302|562690200531108268|2943|2024-07-06 10:34:04||0|0|0|0001151720248300|20|0||
25e08e6c-925d-46b6-97ab-2cf4786e86a9|561159664041984391|0|5645|2024-07-06 10:34:06||0|0|0|0001581720245600|20|0||
bfab3155-e4e7-4bde-a022-316f5bc759f2|546666056182136990|546311644754477316|9890|2024-07-06 10:34:11||0|0|0|0028991720897200|20|0||
963fcf72-f31d-4bcc-a891-0da1c4db9e50|875624436559317979|588147948869648989|552|2024-07-06 10:34:13||0|0|0|0048331720250700|20|0||
c2590482-20ff-4e58-bb36-285ec8df4c7d|572833370455671369|0|596|2024-11-10 03:59:59||0|0|0|0035721731199800|20|0|2024-11-11 03:50:00|3281038
d1fc0cb2-e639-4b17-a1dc-56eedaad5388|1009469001375896287|953773176033066832|66|2024-07-06 10:34:24||0|0|0|0000021719645000|20|0||
db0bc00d-32c6-4f14-8cfd-ed1a7e0e446b|907831538158880233|0|2831|2024-11-09 13:03:26||0|0|0|0000011716621300|20|0|2024-11-09 12:15:22|
6f6cc41a-8cce-4a7e-909d-7286550cbb2c|546311781983715393|0|2358|2024-07-06 10:59:58||0|0|0|0100041720250400|20|0||
b09d4421-561a-4559-9d45-551ab39aaa5b|953773176033066832|0|2952|2024-07-06 10:59:39||0|0|0|0000021720249800|20|0||
0f1ee1f8-ab2b-43bf-9edc-e3dcc233d1ff|547488304073801949|547488284595454673|269|2024-07-06 10:34:30||0|0|0|0002821720251000|20|0||
2eee53a4-8efc-4b6d-a34c-ea2777957f15|1006635702612305797|986730752877548594|2069|2024-07-06 10:34:30||0|0|0|0000081720249200|20|0||
780f049e-b3c3-4926-8a3d-1eb7213d356e|546310131466372078|0|7763|2024-11-02 11:59:28||0|0|0|0037501720248600|20|0|2024-11-16 09:50:00|
27ab75af-8fcd-49ee-a698-afe7d3a9ea3d|585646546192695833|0|4170|2024-07-06 10:34:32||0|0|0|0003211720247100|20|0||
0b5fa947-b9cd-4c84-8ea4-38c65b2d791e|892964022573007080|768908416758910281|2072|2024-07-06 10:34:32||0|0|0|0000091720249200|20|0||
806a80cf-0b26-4884-a674-01b01d22270f|546310079075320119|546316688543449479|10614|2024-07-06 10:50:48||0|0|0|0000041720446300|20|0||
78ae5fe5-c47e-4d05-93af-0457410421a5|546606828289524372|588213684954726636|6574|2024-07-06 10:43:27||0|0|0|0002811720447650|20|0||
bfdffa28-2682-4e81-9c88-ee16201ad03d|557613215761039664|0|2673|2024-07-06 10:34:34||0|0|0|0003811720248600|20|0||
b685bba3-2eda-4982-95c5-c181600f227c|546330729785590263|546314524995617441|523|2024-07-06 10:42:55||0|0|0|0002181720251240|20|0||
a65dd797-ef21-4b24-87c5-3f68b8d28536|546310393270633467|546310015753913209|9453|2024-07-06 10:34:35||0|0|0|0000061720467000|20|0||
0b9762a8-d373-4b50-b2ea-dd1f84f81cc8|546321771754685355|648145457727942254|6367|2024-07-06 10:34:35||0|0|0|0002811720560600|20|0||
0b8cd611-93b1-4f28-8712-903b6962f2d7|546320420635148496|572829801081996250|3580|2024-07-06 10:34:36||0|0|0|0035721720195200|20|0||
7998e14c-e70e-4f3a-bf9c-8423f9d58cc0|953773176033066832|0|1996|2024-07-06 10:43:30||0|0|0|0055151720249800|20|0||
dcb01601-a92b-4b52-9559-4bac51b51b66|546311157938389445|0|5236|2024-07-06 10:47:17||0|0|0|0101701720246800|20|0||
b3032c98-3e60-4b23-bed4-0e4ce916ea38|727635468821007633|546310946419639028|5760|2024-07-06 10:34:41||0|0|0|0007491720215900|20|0||
347eede6-78c2-462b-a5c5-f2211e5a3798|562690201646792753|552537194254827718|3631|2024-07-06 10:34:43||0|0|0|0007441720230300|20|0||
